Variables,mean,std
Db,1.528014325,0.16919954
logOC,-1.350215204,1.298372765
rVCOS,0.34805192,1.071920165
rCOS,3.780384038,4.565851409
rMS,20.89484431,16.79615617
rFS,50.16345891,20.60203066
rVFS,10.46438003,8.610681422
rSand,85.65647572,15.93893985
rSilt,5.597313166,7.145093259
rClay,8.746085962,11.95390974
d10,52.00630332,44.37547028
d50,167.2136575,69.06331447
d60,199.5963986,76.98415651
logCU,2.838626308,2.598154905
d10_2,37.42354672,28.74513087
d50_2,234.7050641,78.88294961
d60_2,355.8649401,104.6191954
logCU_2,3.602295409,2.326503932
